stop_id,stop_name,stop_lat,stop_lon,color
METROBUSL2-IZTACALCO,Metrobús Iztacalco,19.39655,-99.09596,8D1A96
METROBUSL2-GOMA,Metrobús Goma,19.39689,-99.10001,8D1A96
METROBUSL2-TLACOTAL,Metrobús Tlacotal,19.39722,-99.10391,8D1A96
METROBUSL2-CANELA,Metrobús Canela,19.39785,-99.10934,8D1A96
METROBUSL2-COYUYA,Metrobús Coyuya,19.39828,-99.11678,8D1A96
METROBUSL2-LAVIGA,Metrobús La Viga,19.39806,-99.12456,8D1A96
METROBUSL2-ANDRESMOLI,Metrobús Andrés Molina,19.39768,-99.1297,8D1A96
METROBUSL2-AMERICAS,Metrobús Las Américas,19.39346,-99.13435,8D1A96
METROBUSL2-XOLA,Metrobús Xola,19.39437,-99.14025,8D1A96
METROBUSL2-ALAMOS,Metrobús Alamos,19.39475,-99.14294,8D1A96
METROBUSL2-CENTROSCOP,Metrobús Centro SCOP,19.39525,-99.14676,8D1A96
METROBUSL2-DRVERTIZ,Metrobús Doctor Vértiz,19.39561,-99.15171,8D1A96
METROBUSL2-ETIOPIA,Metrobús Etiopía,19.39584,-99.155,8D1A96
METROBUSL2-AMORES,Metrobús Amores,19.39688,-99.16382,8D1A96
METROBUSL2-VIADUCTO,Metrobús Viaducto,19.40131,-99.16809,8D1A96
METROBUSL2-ESCANDON,Metrobús Escandón,19.40441,-99.17383,8D1A96
METROBUSL2-PATRIOTISMO,Metrobús Patriotismo,19.40557,-99.17737,8D1A96
METROBUSL2-DELASALLE,Metrobús De La Salle,19.40759,-99.18351,8D1A96
METROBUSL2-PARQUELIRA,Metrobús Parque Lira,19.40779,-99.1891,8D1A96
METROBUSL2-ANTONMACEO,Metrobús Antonio Maceo,19.40487,-99.1859,8D1A96
METROBUSL2-TACUBAYA,Metrobús Tacubaya,19.40199,-99.18701,8D1A96
METROBUSL3-TENAYUCA,Metrobús Tenayuca,19.52862,-99.17011,7A9A01
METROBUSL3-SANJOSEESCA,Metrobús San José de la Escalera,19.52272,-99.16556,7A9A01
METROBUSL3-TRESANEGAS,Metrobús Tres Anegas,19.51551,-99.16193,7A9A01
METROBUSL3-JUPITER,Metrobús Júpiter,19.50861,-99.15924,7A9A01
METROBUSL3-PATERA,Metrobús La Patera,19.50366,-99.15727,7A9A01
METROBUSL3-PNTE146,Metrobús Poniente 146,19.49999,-99.15588,7A9A01
METROBUSL3-MONTEVIDEO,Metrobús Montevideo,19.49611,-99.15446,7A9A01
METROBUSL3-PNTE134,Metrobús Poniente 134,19.49269,-99.15317,7A9A01
METROBUSL3-PNTE 128,Metrobús Poniente 128,19.48955,-99.15196,7A9A01
METROBUSL3-MAGDASALINAS,Metrobús Magdalena de las Salinas,19.48388,-99.14986,7A9A01
METROBUSL3-COLTONGO,Metrobús Coltongo,19.47985,-99.14833,7A9A01
METROBUSL3-CUITLAHUAC,Metrobús Cuitláhuac,19.47415,-99.14616,7A9A01
METROBUSL3-HEROENACOZA,Metrobús Héroe de Nacozari,19.47116,-99.14504,7A9A01
METROBUSL3-HOSPRAZA,Metrobús Hospital La Raza,19.46799,-99.14385,7A9A01
